Date : 2024-06-22 20:07:12
Directory : c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1
Total : 167 files,  16704 codes, 256 comments, 415 blanks, all 17375 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\components\mini-map\mini-map.component.css                                            | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\components\mini-map\mini-map.component.html                                           | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\components\mini-map\mini-map.component.ts                                             | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\components\side-menu\side-menu.component.css                                          | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\components\side-menu\side-menu.component.html                                         | HTML               |          9 |          0 |          0 |          9 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\components\side-menu\side-menu.component.ts                                           | TypeScript         |         22 |          0 |          4 |         26 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\layout\maps-layout\maps-layout.component.css                                          | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\layout\maps-layout\maps-layout.component.html                                         | HTML               |          2 |          0 |          1 |          3 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\layout\maps-layout\maps-layout.component.ts                                           | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\full-screen-page\full-screen-page.component.css                                 | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\full-screen-page\full-screen-page.component.html                                | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\full-screen-page\full-screen-page.component.ts                                  | TypeScript         |         27 |          1 |          5 |         33 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\markers-page\markers-page.component.css                                         | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\markers-page\markers-page.component.html                                        | HTML               |         12 |          0 |          0 |         12 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\markers-page\markers-page.component.ts                                          | TypeScript         |        146 |         13 |         19 |        178 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\properties-page\properties-page.component.css                                   | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\properties-page\properties-page.component.html                                  | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\properties-page\properties-page.component.ts                                    | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\zoom-range-page\zoom-range-page.component.css                                   | CSS                |         28 |          0 |          4 |         32 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\zoom-range-page\zoom-range-page.component.html                                  | HTML               |         16 |          0 |          1 |         17 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\mapbox1\pages\zoom-range-page\zoom-range-page.component.ts                                    | TypeScript         |         62 |          1 |         14 |         77 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\payment.component.css                                                                 | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\payment.component.html                                                                | HTML               |         34 |          0 |          0 |         34 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\payment.component.ts                                                                  | TypeScript         |        103 |          0 |         11 |        114 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\payment.service.ts                                                                    | TypeScript         |        118 |          6 |          9 |        133 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\cancel\cancel.component.css                                                   | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\cancel\cancel.component.html                                                  | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\cancel\cancel.component.spec.ts                                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\cancel\cancel.component.ts                                                    | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\success\success.component.css                                                 | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\success\success.component.html                                                | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\success\success.component.spec.ts                                             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\payment\screens\success\success.component.ts                                                  | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\addMarcador.svg                                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\aire-libre.svg                                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\alojamiento.svg                                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\analisis.svg                                                                               | XML                |          1 |          0 |          0 |          1 |
